trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
66500,0.5952,0.3250,15,0.6250,66.29,360,9.96,0.01,6,2800,430,430,996
67000,0.6167,0.2786,15,0.6250,66.19,355,9.97,0.00,0,2800,430,430,1003
67500,0.6446,0.2833,15,0.6250,66.38,359,9.95,0.03,6,2800,430,430,1007
68000,0.6241,0.2195,15,0.6250,66.42,364,9.95,0.03,6,2800,430,430,1018
68500,0.5750,0.1755,15,0.6250,66.41,359,9.96,0.00,0,2800,430,430,1026
69000,0.5785,0.2334,15,0.6250,66.40,364,9.96,0.01,6,2800,430,430,1034
69500,0.6461,0.2668,15,0.6250,66.23,359,9.97,0.01,6,2800,431,431,1041
70000,0.5415,0.2290,15,0.6250,66.22,364,9.98,0.00,0,2800,431,431,1050
70500,0.5472,0.1234,15,0.6250,66.14,359,9.97,0.00,0,2800,431,431,1059
71000,0.7236,0.3417,15,0.6250,66.25,364,9.96,0.01,6,2800,431,431,1064
71500,0.6285,0.3124,15,0.6250,66.28,359,9.96,0.03,6,2800,431,431,1075
72000,0.6186,0.3040,15,0.6250,66.38,364,9.95,0.01,5,2800,431,431,1081
72500,0.6600,0.2710,15,0.6250,66.32,358,9.96,0.01,6,2800,431,431,1085
73000,0.5707,0.3128,15,0.6250,66.37,363,9.96,0.01,6,2800,431,431,1092
73500,0.6146,0.3306,15,0.6250,66.14,358,9.97,0.01,6,2800,431,431,1100
74000,0.6162,0.3197,15,0.6250,66.30,363,9.96,0.01,6,2800,431,431,1107
74500,0.5056,0.1852,15,0.6250,66.26,358,9.97,0.00,0,2800,431,431,1118
75000,0.6534,0.3868,15,0.6250,66.34,363,9.96,0.03,6,2800,431,431,1123
75500,0.5797,0.2401,15,0.6250,66.42,358,9.96,0.03,6,2800,431,431,1130
76000,0.5947,0.3905,15,0.6250,66.33,363,9.96,0.01,6,2800,431,431,1134
76500,0.5465,0.1771,15,0.6250,66.41,358,9.96,0.01,6,2800,431,431,1137
77000,0.5857,0.2224,15,0.6250,66.18,363,9.97,0.01,6,2800,431,431,1145
77500,0.6457,0.2595,15,0.6250,66.26,358,9.97,0.01,6,2800,431,431,1145
78000,0.6213,0.1964,15,0.6250,66.20,363,9.96,0.03,6,2800,431,431,1151
78500,0.6599,0.3237,15,0.6250,66.19,358,9.96,0.01,6,2800,431,431,1156
79000,0.6406,0.3137,15,0.6250,66.37,362,9.96,0.01,6,2800,431,431,1162
79500,0.7061,0.3735,15,0.6250,66.28,357,9.96,0.01,6,2800,431,431,1170
80000,0.6914,0.2772,15,0.6250,66.24,362,9.97,0.00,0,2800,431,431,1173
80500,0.6165,0.1554,15,0.6250,66.19,357,9.97,0.01,6,2800,431,431,1176
81000,0.6417,0.4086,15,0.6250,66.29,362,9.97,0.00,0,2800,431,431,1184
81500,0.5017,0.2545,15,0.6250,66.15,357,9.97,0.01,6,2800,431,431,1193
82000,0.5170,0.2184,15,0.6250,66.22,362,9.96,0.01,6,2800,431,431,1202
82500,0.7442,0.5350,15,0.6250,66.35,357,9.95,0.01,6,2800,431,431,1203
83000,0.6081,0.2144,15,0.6250,66.39,362,9.95,0.01,6,2800,431,431,1208
83500,0.5911,0.1704,15,0.6250,66.36,357,9.95,0.03,6,2800,431,431,1214
84000,0.6570,0.2432,15,0.6250,66.36,361,9.96,0.01,6,2800,431,431,1225
84500,0.6176,0.2240,15,0.6250,66.29,356,9.96,0.03,6,2800,431,431,1231
85000,0.7475,0.4425,15,0.6250,66.32,361,9.95,0.03,6,2800,431,431,1237
85500,0.7297,0.2623,15,0.6250,66.33,356,9.96,0.01,6,2800,431,431,1246
86000,0.6069,0.1595,15,0.6250,66.25,361,9.96,0.01,6,2800,431,431,1249
86500,0.6655,0.2024,15,0.6250,66.32,356,9.96,0.01,6,2800,431,431,1254
87000,0.6759,0.1538,15,0.6250,66.30,361,9.96,0.00,0,2800,431,431,1259
87500,0.5538,0.1911,15,0.6250,66.17,356,9.98,0.01,6,2800,431,431,1269
88000,0.4927,0.1571,15,0.6250,66.17,361,9.97,0.00,0,2800,431,431,1275
88500,0.6432,0.3081,15,0.6250,66.20,355,9.96,0.01,6,2800,431,431,1278
89000,0.7203,0.3644,15,0.6250,66.38,360,9.95,0.00,0,2800,431,431,1287
89500,0.5804,0.2238,15,0.6250,66.25,355,9.97,0.00,0,2800,431,431,1294
90000,0.6079,0.2597,15,0.6250,66.25,360,9.97,0.01,6,2800,431,431,1299
90500,0.5862,0.2078,15,0.6250,66.22,355,9.97,0.00,0,2800,431,431,1317
91000,0.6601,0.2763,15,0.6250,66.37,360,9.96,0.01,6,2800,431,431,1329
91500,0.5775,0.2220,15,0.6250,66.29,355,9.97,0.00,0,2800,431,431,1332
92000,0.6815,0.1441,15,0.6250,66.26,360,9.96,0.00,0,2800,431,431,1347
92500,0.4994,0.2045,15,0.6250,66.27,364,9.96,0.01,6,2800,431,431,1357
93000,0.6645,0.2084,15,0.6250,66.36,359,9.96,0.00,0,2800,431,431,1369
93500,0.6501,0.2622,15,0.6250,66.34,364,9.96,0.01,6,2800,431,431,1371
94000,0.5993,0.2879,15,0.6250,66.33,359,9.96,0.01,6,2800,431,431,1374
94500,0.5557,0.2647,15,0.6250,66.23,364,9.97,0.01,6,2800,431,431,1379
95000,0.6571,0.3212,15,0.6250,66.33,359,9.96,0.01,6,2800,431,431,1385
95500,0.6344,0.2221,15,0.6250,66.34,364,9.95,0.00,0,2800,431,431,1391
96000,0.6156,0.1960,15,0.6250,66.33,359,9.96,0.01,6,2800,431,431,1392
96500,0.6377,0.3661,15,0.6250,66.25,363,9.97,0.01,6,2800,431,431,1398
97000,0.5456,0.1406,15,0.6250,66.31,358,9.98,0.01,6,2800,431,431,1405
97500,0.5708,0.2257,15,0.6250,66.21,363,9.97,0.00,0,2800,431,431,1409
98000,0.6407,0.4051,15,0.6250,66.21,358,9.97,0.00,0,2800,431,431,1419
98500,0.5907,0.2345,15,0.6250,66.19,363,9.97,0.01,6,2800,431,431,1428
99000,0.5955,0.3213,15,0.6250,66.25,358,9.96,0.01,6,2800,431,431,1436
99500,0.6513,0.2663,15,0.6250,66.25,363,9.95,0.01,6,2800,431,431,1445
100000,0.6016,0.2331,15,0.6250,66.42,358,9.94,0.01,6,2800,431,431,1450
