trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
198000,0.6022,0.3110,12,0.7000,61.94,324,9.97,0.00,0,2800,384,384,412
199000,0.6315,0.3870,12,0.7000,62.05,323,9.96,0.00,0,2800,384,384,412
200000,0.4536,0.1621,12,0.7000,62.03,321,9.96,0.00,0,2800,384,384,412
201000,0.6235,0.2272,12,0.7000,62.00,330,9.96,0.00,0,2800,384,384,412
202000,0.5922,0.2373,12,0.7000,62.10,328,9.96,0.00,0,2800,384,384,412
203000,0.5984,0.2204,12,0.7000,62.07,327,9.95,0.00,0,2800,384,384,412
204000,0.6140,0.2276,12,0.7000,62.08,325,9.96,0.00,0,2800,384,384,412
205000,0.6033,0.2779,12,0.7000,61.96,324,9.96,0.00,0,2800,384,384,412
206000,0.6314,0.2071,12,0.7000,62.06,322,9.95,0.00,0,2800,384,384,412
207000,0.6804,0.3522,12,0.7000,62.02,321,9.97,0.00,0,2800,384,384,412
208000,0.7264,0.3634,12,0.7000,62.12,329,9.95,0.01,5,2800,384,384,412
209000,0.7090,0.2555,12,0.7000,61.85,328,9.98,0.00,0,2800,384,384,412
210000,0.6980,0.3656,12,0.7000,62.02,326,9.96,0.00,0,2800,384,384,412
211000,0.5326,0.3381,12,0.7000,62.01,325,9.97,0.00,0,2800,384,384,412
212000,0.5474,0.3223,12,0.7000,61.93,323,9.96,0.00,0,2800,384,384,412
213000,0.5534,0.0970,12,0.7000,62.06,322,9.97,0.00,0,2800,384,384,412
214000,0.6331,0.4260,12,0.7000,61.98,330,9.97,0.00,0,2800,384,384,412
215000,0.4833,0.1950,12,0.7000,62.08,329,9.96,0.00,0,2800,384,384,412
216000,0.6163,0.3106,12,0.7000,61.87,327,9.99,0.00,0,2800,384,384,412
217000,0.6713,0.3584,12,0.7000,62.09,326,9.94,0.00,0,2800,384,384,412
218000,0.5261,0.2522,12,0.7000,62.04,324,9.96,0.00,0,2800,384,384,412
219000,0.5696,0.3260,12,0.7000,62.00,323,9.95,0.00,0,2800,384,384,412
220000,0.6023,0.3745,12,0.7000,62.10,321,9.97,0.01,5,2800,384,384,412
221000,0.6568,0.2756,12,0.7000,62.00,330,9.96,0.00,0,2800,384,384,412
222000,0.4809,0.1688,12,0.7000,61.98,329,9.97,0.00,0,2800,384,384,412
223000,0.6140,0.2372,12,0.7000,61.99,327,9.97,0.00,0,2800,384,384,412
224000,0.5924,0.2556,12,0.7000,61.97,325,9.97,0.00,0,2800,384,384,412
225000,0.5009,0.1628,12,0.7000,62.13,324,9.94,0.01,5,2800,384,384,412
226000,0.5437,0.1555,12,0.7000,62.07,322,9.96,0.01,5,2800,384,384,412
227000,0.6024,0.2167,12,0.7000,62.02,321,9.96,0.00,0,2800,384,384,412
228000,0.5031,0.2266,12,0.7000,62.03,329,9.96,0.00,0,2800,384,384,412
229000,0.5851,0.3266,12,0.7000,61.91,328,9.98,0.00,0,2800,384,384,412
230000,0.6593,0.3389,12,0.7000,61.98,326,9.97,0.00,0,2800,384,384,412
231000,0.5417,0.3537,12,0.7000,62.04,325,9.96,0.00,0,2800,384,384,412
232000,0.5830,0.3021,12,0.7000,62.03,323,9.96,0.00,0,2800,384,384,412
233000,0.6075,0.2880,12,0.7000,62.02,322,9.97,0.00,0,2800,384,384,412
234000,0.5581,0.2263,12,0.7000,62.00,330,9.96,0.00,0,2800,384,384,412
235000,0.6348,0.5042,12,0.7000,61.97,329,9.97,0.00,0,2800,384,384,412
236000,0.6091,0.3429,12,0.7000,62.06,327,9.96,0.00,0,2800,384,384,412
237000,0.6196,0.2922,12,0.7000,61.99,326,9.96,0.00,0,2800,384,384,412
238000,0.5795,0.2874,12,0.7000,62.05,324,9.96,0.00,0,2800,384,384,412
239000,0.5911,0.3802,12,0.7000,62.08,323,9.95,0.00,0,2800,384,384,412
240000,0.5367,0.3463,12,0.7000,62.12,321,9.95,0.00,0,2800,384,384,412
241000,0.4820,0.2276,12,0.7000,62.02,330,9.96,0.01,5,2800,384,384,412
242000,0.6735,0.2167,12,0.7000,61.95,329,9.96,0.00,0,2800,384,384,412
243000,0.6717,0.3496,12,0.7000,61.97,327,9.97,0.00,0,2800,384,384,412
244000,0.7262,0.3196,12,0.7000,62.05,326,9.96,0.00,0,2800,384,384,412
245000,0.5494,0.3066,12,0.7000,62.03,324,9.96,0.00,0,2800,384,384,412
246000,0.5266,0.2277,12,0.7000,61.97,323,9.96,0.00,0,2800,384,384,412
247000,0.5855,0.3184,12,0.7000,62.10,321,9.95,0.00,0,2800,384,384,412
248000,0.5999,0.2358,12,0.7000,61.95,330,9.96,0.00,0,2800,384,384,412
249000,0.6102,0.3819,12,0.7000,62.06,328,9.97,0.00,0,2800,384,384,412
250000,0.5410,0.3150,12,0.7000,61.97,327,9.96,0.00,0,2800,384,384,412
251000,0.5389,0.2341,12,0.7000,62.10,325,9.95,0.00,0,2800,384,384,412
252000,0.5425,0.3046,12,0.7000,61.92,324,9.97,0.00,0,2800,384,384,412
253000,0.5843,0.2965,12,0.7000,62.04,323,9.96,0.00,0,2800,384,384,412
